TRAPPIST1c,TRAPPIST-1,1442473278,42,346.622013,-5.041274,2.4218233,0.00687,18.8,TRAPPIST-1 c
TRAPPIST1d,TRAPPIST-1,1475938765,49,346.622013,-5.041274,4.04961,0.00367,18.8,TRAPPIST-1 d
TRAPPIST1e,TRAPPIST-1,1475094994,57,346.622013,-5.041274,6.099615,0.00519,18.8,TRAPPIST-1 e
TRAPPIST1f,TRAPPIST-1,1476046881,62,346.622013,-5.041274,9.20669,0.00673,18.8,TRAPPIST-1 f
TRAPPIST1g,TRAPPIST-1,1475524134,68,346.622013,-5.041274,12.35294,0.00782,18.8,TRAPPIST-1 g
TRAPPIST1h,TRAPPIST-1,1475282297,75,346.622013,-5.041274,18.767,0.00346,18.8,TRAPPIST-1 h
WASP10b,WASP-10,1216208813,133,348.992912,31.462852,3.0927616,0.02525,12.7,WASP-10 b
WASP103b,WASP-103,1371344737,155,249.314868,7.183352,0.925542,0.01195,12.1,WASP-103 b
WASP104b,WASP-104,1366724841,105,160.602432,7.435026,1.7554137,0.01474,11.12,WASP-104 b
WASP105b,WASP-105,1383479914,223,24.167667,-50.659027,7.87288,0.012,12.1,WASP-105 b
WASP107b,WASP-107,1376080121,165,188.386871,-10.146149,5.72149,0.0217,11.471,WASP-107 b
WASP113b,WASP-113,1435061483,257,224.872776,46.960117,4.54216875,0.00809,11.771,WASP-113 b
WASP114b,WASP-114,1389327367,166,327.664437,10.463482,1.5487743,0.00927,12.743,WASP-114 b
WASP118b,WASP-118,1399698501,288,19.550543,2.702824,4.0460435,0.00755,11.02,WASP-118 b
WASP120b,WASP-120,1398976826,213,62.616051,-45.89822,3.6112706,0.00655,11,WASP-120 b
WASP121b,WASP-121,1386560002,173,107.600275,-39.097393,1.2749255,0.01551,10.44,WASP-121 b
WASP123b,WASP-123,1404657190,185,289.478676,-32.86113,2.9776412,0.0111,11.1,WASP-123 b
WASP127b,WASP-127,1439523495,258,160.55867,-3.835064,4.178062,0.01037,10.15,WASP-127 b
WASP130b,WASP-130,1411220065,223,203.105988,-42.475273,11.55098,0.00916,11.1,WASP-130 b
WASP131b,WASP-131,1411105864,229,210.193542,-30.583567,5.322023,0.00665,10.1,WASP-131 b
WASP132b,WASP-132,1391959590,184,217.609131,-46.15918,7.133521,0.0146,12.4,WASP-132 b
WASP135b,WASP-135,1265194572,99,267.284974,29.879107,1.4013794,0.0194,13.28,WASP-135 b
WASP136b,WASP-136,1398754876,327,0.32575,-8.926325,5.215357,0.00411,9.98,WASP-136 b
WASP138b,WASP-138,1446253335,226,41.639084,-0.463922,3.634433,0.00683,11.81,WASP-138 b
WASP139b,WASP-139,1435037844,169,49.562229,-41.302147,5.924262,0.0107,12.4,WASP-139 b
WASP140b,WASP-140,1410464405,90,60.38562,-20.451092,2.2359835,0.0205,11.1,WASP-140 b
WASP141b,WASP-141,1419726554,215,71.824409,-17.115154,3.310651,0.0083,12.4,WASP-141 b
WASP142b,WASP-142,1418707185,160,140.506393,-23.946169,2.052868,0.00916,12.3,WASP-142 b
WASP157b,WASP-157,1440310692,116,201.655197,-8.31756,3.9516205,0.00891,12.91,WASP-157 b
